TORNEO:Carabao CUP;Málaga;24/10/2023
EQUIPO:Palo;0;Málaga;palofc@gmail.com
JUGADOR:Juan;Ruiz Molina;56565656h;wan@gmail.com;898989898;2007;6;0
EQUIPO:CD Algaidas;0;Málaga;cdalgaidas@gmail.com
PORTERO:Jaime;Porras Linares;45546565F;jaimen@gmail.com;655899999;2004;1;0;3
JUGADOR:Sergio;Serrano Peláez;34343434V;monono@gmail.com;655454545;2005;14;3
JUGADOR:Samu;Ruiz Molina;23434554C;puiko@gmail.com;655555555;2004;19;3
JUGADOR:Ángel;Sánchez Molina;34546789C;san@gmail.com;654321123;2004;5;5
JUGADOR:Alejandro;Ruiz Mesa;12232134S;alex@gmail.com;678898876;2003;4;0
JUGADOR:Paco;Pérez Mora;32458765Y;paquito@gmail.com;654321123;2010;16;0
JUGADOR:Ángel;García Aguilera;23232323A;agaragu@gmail.com;677677677;2004;27;1
JUGADOR:Israel;Cobo Luque;34566778B;fali@gmail.com;654432234;2004;23;7
